"id","code","name","calories","protein","carbohydrates","fats","total_sugars","cholesterol","sodium","dietary_fiber","iron","calcium"
9270,53237518,"כדורי שוקולד, עם חמאה",401.9346619,4.624539375,60.16809082,15.8716917,31.54723549,21.68844223,131.1390228,3.207590818,1.302288413,27.47651291
9271,53301018,"עוגת תפוחי עץ, קראמבל על בסיס חמאה",237.4143219,2.217547178,29.16215134,11.83746433,14.46848774,34.58821106,2.835952044,2.202889442,0.310865045,10.98667812
9272,58131118,"כיסוני בצק, קרפלך ללא מילוי",269.5014648,9.271969795,47.13776016,3.398382425,0.255979836,110.8963089,335.5025024,1.718377113,1.149801016,26.8655529
9273,58127478,"בצק עלים אפוי, תחתית/סלסילה, ללא מילוי",377.346405,4.490984917,32.01206589,24.76438522,0.123494737,0,352.5227966,1.174337149,0.520736277,9.393057823
9274,58131128,"כיסוני בצק, רביולי במילוי ארבע גבינות",350.5149841,14.92613316,43.9637146,11.48766041,0.338316053,184.3963318,535.204834,1.769037008,1.520462632,191.1576996
9275,58131168,"כיסוני בצק, רביולי במילוי פטריות",239.4332581,8.106444359,28.93854713,8.920832634,1.870896816,115.7215652,262.7185059,1.747839808,1.114054918,35.17129898
9276,74404048,"רוטב עגבניות מרסק עגבניות ושמן חמניות",72.05448151,1.429562807,9.360917091,3.209749222,5.718595028,0,288.0975037,1.265663147,1.178709626,25.58279419
9277,74404088,"רוטב עגבניות מרסק עגבניות ושמן תירס",72.51325989,1.429562807,9.360917091,3.209749222,5.718595028,0,288.0975037,1.265663147,1.178709626,25.58279419
9278,74404068,"רוטב עגבניות מרסק עגבניות וחמאה",67.98279572,1.443899632,9.375254631,2.693619967,5.732932091,7.05376339,288.3842163,1.265663147,1.178709626,26.33978462
9279,75219268,"רוטב פטריות משומרות עם שמן קנולה",62.11129761,1.305718064,4.58194685,3.997246027,1.984165192,0,339.0208435,1.49799192,0.42327404,13.54178524
9280,13411028,"רוטב שמנת פטריות טריות עם שמן קנולה",148.0615082,2.648039818,8.570846558,11.24019909,3.428113461,19.49317741,267.6794434,1.305609703,0.847671628,48.98981857
9281,81302068,"רוטב פסטו ללא פרמזן",334.4271545,4.04929924,2.61730814,35.17165756,0.736640692,0,219.007782,1.527252555,2.843081236,108.8031158
